municipality_code,district_code,state_code,name,area_km2,population,longitude,latitude,settlement_type
01053080,01053,01,Langenlehsten,23.37,184,10.740533,53.499907,gering besiedelt
01053092,01053,01,Müssen,11.46,1237,10.562546,53.494346,gering besiedelt
01053104,01053,01,Roseburg,16.24,540,10.624215,53.530505,gering besiedelt
01053115,01053,01,Schulendorf,11.38,472,10.561815,53.47331,gering besiedelt
01053119,01053,01,Siebeneichen,4.68,295,10.618693,53.510828,gering besiedelt
01053126,01053,01,Tramm,6.74,343,10.614693,53.56324,gering besiedelt
01053132,01053,01,Witzeeze,10.46,941,10.610144,53.452652,gering besiedelt
01053003,01053,01,Aumühle,3.48,3254,10.313492,53.528598,mittlere Besiedlungsdichte
01053012,01053,01,Börnsen,8.41,4702,10.285588,53.476743,mittlere Besiedlungsdichte
01053023,01053,01,Dassendorf,7.94,3420,10.372665,53.488608,gering besiedelt
01053028,01053,01,Escheburg,8.91,4075,10.309429,53.46713,mittlere Besiedlungsdichte
01053050,01053,01,Hamwarde,6.67,884,10.421397,53.452847,mittlere Besiedlungsdichte
01053053,01053,01,Hohenhorn,6.93,522,10.367611,53.475734,gering besiedelt
01053072,01053,01,Kröppelshagen-Fahrendorf,8.37,1361,10.315197,53.488589,mittlere Besiedlungsdichte
01053131,01053,01,Wiershop,5.15,219,10.451895,53.442501,gering besiedelt
01053133,01053,01,Wohltorf,5.97,2575,10.291254,53.517253,mittlere Besiedlungsdichte
01053135,01053,01,Worth,6.07,169,10.408431,53.467545,gering besiedelt
01053006,01053,01,Basedow,7.47,614,10.583592,53.416151,gering besiedelt
01053019,01053,01,Buchhorst,5.19,151,10.568335,53.384993,gering besiedelt
01053022,01053,01,Dalldorf,6.05,348,10.610487,53.435521,gering besiedelt
01053058,01053,01,Juliusburg,6.03,180,10.506484,53.41715,gering besiedelt
01053073,01053,01,Krüzen,8.24,365,10.527113,53.401518,gering besiedelt
01053074,01053,01,Krukow,7.94,162,10.478187,53.418864,gering besiedelt
01053082,01053,01,Lanze,9.04,273,10.604387,53.386341,gering besiedelt
01053087,01053,01,Lütau,11.24,654,10.545404,53.435861,gering besiedelt
01053111,01053,01,Schnakenbek,13.02,907,10.50018,53.385426,gering besiedelt
01053128,01053,01,Wangelau,6.52,210,10.546567,53.453726,gering besiedelt
01053001,01053,01,Albsfelde,4.18,76,10.694451,53.679957,gering besiedelt
01053004,01053,01,Bäk,4.3,908,10.787081,53.716345,mittlere Besiedlungsdichte
01053016,01053,01,Brunsmark,4.29,157,10.750236,53.617106,gering besiedelt
01053018,01053,01,Buchholz,2.93,237,10.745377,53.731393,gering besiedelt
01053026,01053,01,Einhaus,2.53,444,10.725697,53.714136,mittlere Besiedlungsdichte
01053030,01053,01,Fredeburg,10.09,44,10.72727,53.674253,gering besiedelt
01053033,01053,01,Giesensdorf,2.73,170,10.713651,53.688273,gering besiedelt
01053040,01053,01,Groß Disnack,5.99,84,10.69059,53.741974,gering besiedelt
01053041,01053,01,Groß Grönau,4.9,3795,10.750476,53.801387,mittlere Besiedlungsdichte
01053043,01053,01,Groß Sarau,17.08,1125,10.737415,53.771827,gering besiedelt
01053051,01053,01,Harmsdorf,3.57,311,10.725868,53.700407,gering besiedelt
01053054,01053,01,Hollenbek,7.21,476,10.819794,53.592298,gering besiedelt
01053057,01053,01,Horst,12.05,269,10.77065,53.638591,gering besiedelt
01053062,01053,01,Kittlitz,17.73,295,10.918244,53.664141,gering besiedelt
01053066,01053,01,Klein Zecher,9.11,243,10.872803,53.577413,gering besiedelt
01053078,01053,01,Kulpin,6.07,214,10.695812,53.71009,gering besiedelt
01053088,01053,01,Mechow,4.43,135,10.801815,53.717556,gering besiedelt
01053093,01053,01,Mustin,11.88,740,10.886235,53.68453,gering besiedelt
01053098,01053,01,Pogeez,4.51,520,10.729435,53.750929,mittlere Besiedlungsdichte
01053102,01053,01,Römnitz,5.15,60,10.768957,53.710121,gering besiedelt
01053107,01053,01,Salem,25.1,693,10.827965,53.656405,gering besiedelt
01053110,01053,01,Schmilau,11.55,566,10.75597,53.664589,gering besiedelt
01053117,01053,01,Seedorf,27.88,575,10.866858,53.619223,gering besiedelt
01053123,01053,01,Sterley,21.39,925,10.817631,53.620115,gering besiedelt
01053136,01053,01,Ziethen,11.17,1168,10.809322,53.693695,mittlere Besiedlungsdichte
01053007,01053,01,Basthorst,10.82,450,10.47139,53.576616,gering besiedelt
01053017,01053,01,Brunstorf,13.76,783,10.425938,53.491554,gering besiedelt
01053021,01053,01,Dahmker,2.04,161,10.444516,53.587821,gering besiedelt
01053027,01053,01,Elmenhorst,12.99,876,10.537551,53.544876,gering besiedelt
01053031,01053,01,Fuhlenhagen,5.74,374,10.5266,53.572959,gering besiedelt
01053036,01053,01,Grabau,4,358,10.519825,53.513609,gering besiedelt
01053042,01053,01,Groß Pampau,4.31,187,10.560301,53.521808,gering besiedelt
01053045,01053,01,Grove,5.28,258,10.492067,53.528123,gering besiedelt
01053047,01053,01,Gülzow,17.07,1321,10.490939,53.442249,gering besiedelt
01053049,01053,01,Hamfelde,3.47,555,10.44893,53.597194,gering besiedelt
01053052,01053,01,Havekost,5.91,199,10.473088,53.539918,gering besiedelt
01053059,01053,01,Kankelau,4.21,217,10.56832,53.549311,gering besiedelt
01053060,01053,01,Kasseburg,7.89,594,10.415399,53.567213,gering besiedelt
01053070,01053,01,Köthel,1.52,295,10.510002,53.606936,gering besiedelt
01053071,01053,01,Kollow,8.21,606,10.458784,53.463155,gering besiedelt
01053076,01053,01,Kuddewörde,7.35,1720,10.401901,53.587291,gering besiedelt
01053089,01053,01,Möhnsen,7.47,539,10.469197,53.559974,gering besiedelt
01053091,01053,01,Mühlenrade,3.74,215,10.48775,53.595838,gering besiedelt
01053106,01053,01,Sahms,5.94,454,10.532723,53.525807,gering besiedelt
01053025,01053,01,Duvensee,12.39,564,10.568351,53.693029,gering besiedelt
01053038,01053,01,Grinau,2.74,278,10.549505,53.775447,gering besiedelt
01053039,01053,01,Groß Boden,2.7,204,10.452871,53.752722,gering besiedelt
01053044,01053,01,Groß Schenkenberg,6.52,562,10.56488,53.793492,gering besiedelt
01053068,01053,01,Klinkrade,7.4,631,10.55033,53.716092,gering besiedelt
01053069,01053,01,Koberg,11.98,787,10.52596,53.639594,gering besiedelt
01053077,01053,01,Kühsen,7.28,348,10.615824,53.682661,gering besiedelt
01053079,01053,01,Labenz,5.75,918,10.524596,53.708352,gering besiedelt
01053081,01053,01,Lankau,19.12,456,10.665636,53.667879,gering besiedelt
01053085,01053,01,Linau,9.66,1225,10.46755,53.643933,gering besiedelt
01053086,01053,01,Lüchow,4.61,306,10.529518,53.690744,gering besiedelt
01053096,01053,01,Nusse,6.22,1153,10.575979,53.65908,gering besiedelt
01053097,01053,01,Panten,13.83,659,10.61977,53.664571,gering besiedelt
01053099,01053,01,Poggensee,5.44,372,10.579484,53.640102,gering besiedelt
01053101,01053,01,Ritzerau,11.11,293,10.567545,53.663003,gering besiedelt
01053108,01053,01,Sandesneben,6.13,1859,10.496793,53.68797,gering besiedelt
01053109,01053,01,Schiphorst,8.15,685,10.461627,53.708361,gering besiedelt
01053112,01053,01,Schönberg,14.77,1438,10.433054,53.677154,gering besiedelt
01053114,01053,01,Schürensöhlen,2.75,164,10.47204,53.763455,gering besiedelt
01053118,01053,01,Siebenbäumen,8.82,591,10.525162,53.749557,gering besiedelt
01053121,01053,01,Sirksfelde,8.62,348,10.509773,53.66533,gering besiedelt
01053122,01053,01,Steinhorst,16.29,580,10.48343,53.719989,gering besiedelt
01053124,01053,01,Stubben,5.33,388,10.43068,53.732928,gering besiedelt
01053127,01053,01,Walksfelde,3.51,227,10.575101,53.631901,gering besiedelt
01053130,01053,01,Wentorf (Amt Sandesneben),4.99,725,10.474911,53.67663,gering besiedelt
01053105,01053,01,"Sachsenwald (Forstgutsbez.),gemfr.Geb.",58.49,0,10.373262,53.530995,gering besiedelt
01054033,01054,01,"Friedrichstadt, Stadt",4.02,2563,9.087943,54.37346,gering besiedelt
01054056,01054,01,"Husum, Stadt",25.8,24090,9.051328,54.476434,mittlere Besiedlungsdichte
01054108,01054,01,Reußenköge,45.91,300,8.883096,54.620428,gering besiedelt
01054138,01054,01,"Tönning, Stadt",44.43,4814,8.941868,54.31662,gering besiedelt
01054168,01054,01,Sylt,57.31,14167,8.30875,54.90786,mittlere Besiedlungsdichte
01054035,01054,01,"Garding, Kirchspiel",14.89,305,8.78356,54.317383,gering besiedelt
01054036,01054,01,"Garding, Stadt",3.06,2816,8.778217,54.327962,gering besiedelt
01054040,01054,01,Grothusenkoog,3.27,26,8.759033,54.302739,gering besiedelt
01054063,01054,01,Katharinenheerd,8.41,169,8.828074,54.335199,gering besiedelt
01054072,01054,01,Kotzenbüll,7.77,169,8.905393,54.332136,gering besiedelt
01054090,01054,01,Norderfriedrichskoog,5.31,45,8.893583,54.400271,gering besiedelt
01054095,01054,01,Oldenswort,45.84,1270,8.94255,54.372931,gering besiedelt
01054100,01054,01,Osterhever,18.5,214,8.765219,54.385302,gering besiedelt
01054104,01054,01,Poppenbüll,15.52,246,8.761168,54.361585,gering besiedelt
01054113,01054,01,Sankt Peter-Ording,28.35,3724,8.640495,54.302281,gering besiedelt
01054134,01054,01,Tating,29.49,965,8.708512,54.325497,gering besiedelt
01054135,01054,01,Tetenbüll,36.42,591,8.828234,54.352013,gering besiedelt
01054140,01054,01,Tümlauer Koog,6.2,98,8.689757,54.348337,gering besiedelt
01054145,01054,01,Vollerwiek,4.62,209,8.794694,54.290681,gering besiedelt
01054148,01054,01,Welt,8.2,187,8.79406,54.302402,gering besiedelt
01054150,01054,01,Westerhever,13.32,89,8.67563,54.382315,gering besiedelt
